[15-02-23 01:21:51.426][info] Init chat system....
[15-02-23 01:21:51.426][info] Mode: multiplayer.
[15-02-23 01:21:51.426][info] Chat owner: EL-Mao'.
[15-02-23 03:31:36.402][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:36.581][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:36.748][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:36.899][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:37.090][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:37.249][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:37.418][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:37.599][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:37.759][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:37.935][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:38.211][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:38.377][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:38.531][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:38.699][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:38.900][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:39.032][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:39.253][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:39.404][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:39.601][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:39.765][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:39.982][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:40.156][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:40.365][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:40.565][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:40.748][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:40.948][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:41.131][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:41.288][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:41.501][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:41.695][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:41.880][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:42.082][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
